CustomerID,Age,Gender,Location,PurchaseAmount,PurchaseFrequency
C001,22,Female,Bangalore,2500,5
C002,35,Male,Mysore,1800,3
C003,28,Female,Hassan,3200,7
C004,42,Male,Bangalore,4500,8
C005,31,Female,Mangalore,2100,4
C006,25,Male,Hassan,1500,2
C007,39,Female,Mysore,5200,9
C008,45,Male,Bangalore,6000,10
C009,29,Female,Hassan,2800,6
C010,52,Male,Mangalore,3500,5
C011,24,Female,Bangalore,1900,3
C012,33,Male,Mysore,2700,5
C013,41,Female,Hassan,4800,8
C014,27,Male,Bangalore,2200,4
C015,36,Female,Mangalore,3900,7
C016,48,Male,Mysore,5500,9
C017,23,Female,Hassan,1700,2
C018,38,Male,Bangalore,4200,6
C019,30,Female,Mangalore,3100,5
C020,55,Male,Hassan,7000,12
